Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Mean Source Stockpile,0.990112726508811,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,2.9146032699537964e-05,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.20898003472222224,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,12654.183699406221,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,3686400.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,3507636.006358919,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,0.0034326670191531634,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.9515071631833005,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,0.003594642207379092,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,1.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,12651.571603096638,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,2732784.0,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,3059321.24196131,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,0.004629554184705648,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,1.1194888589662813,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,0.004118386577912789,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.7413151041666667,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,2199.473828942003,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,1035616.0,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,475697.6197500077,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
