Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Mean Source Stockpile,1.8199710355116931,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.008405016790723394,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.20276475694444446,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,0.6810662731617846,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,80.0,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,156.45303176207966,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,0.008513328414522308,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.9556628970259957,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.004334299694831593,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,2.170138888888889e-05,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,116.81873442930336,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,12496.0,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,27515.81023389696,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,0.009348490271231063,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,2.201969448935416,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.004227564976289667,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.0033897569444444444,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,366.97416519156724,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,24992.0,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,53753.55736228462,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,0.014683665380584477,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,2.1508305602706717,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.006780682946642161,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.006779513888888889,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,250.15543076226243,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,12496.0,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,26237.747128387895,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,0.020018840489937774,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,2.0996916716059455,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.00944413889335481,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.0033897569444444444,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,12654.183699406221,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,3686400.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
