Genotype,Seed,Cold,Cell Age,Border Age,Update
Wild Type,1,False,0,0,7168
Wild Type,1,False,288,0,7168
Wild Type,1,False,88,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,176,16,7168
Wild Type,1,False,96,96,7168
Wild Type,1,False,96,56,7168
Wild Type,1,False,96,8,7168
Wild Type,1,False,240,8,7168
Wild Type,1,False,240,240,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,464,216,7168
Wild Type,1,False,464,0,7168
Wild Type,1,False,328,8,7168
Wild Type,1,False,256,0,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,368,8,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,24,0,7168
Wild Type,1,False,24,24,7168
Wild Type,1,False,24,16,7168
Wild Type,1,False,56,40,7168
Wild Type,1,False,56,24,7168
Wild Type,1,False,48,48,7168
Wild Type,1,False,48,48,7168
Wild Type,1,False,1064,104,7168
Wild Type,1,False,1064,48,7168
Wild Type,1,False,1072,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,432,360,7168
Wild Type,1,False,432,432,7168
Wild Type,1,False,432,8,7168
Wild Type,1,False,2472,568,7168
Wild Type,1,False,2472,432,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,304,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,216,0,7168
Wild Type,1,False,232,32,7168
Wild Type,1,False,232,232,7168
Wild Type,1,True,1056,256,7168
Wild Type,1,False,1056,96,7168
Wild Type,1,False,1056,240,7168
Wild Type,1,False,1056,232,7168
Wild Type,1,False,216,216,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,0,7168
Wild Type,1,False,240,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,112,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,104,0,7168
Wild Type,1,False,104,104,7168
Wild Type,1,False,104,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,1064,16,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,96,0,7168
Wild Type,1,False,568,568,7168
Wild Type,1,False,568,568,7168
Wild Type,1,False,2464,664,7168
Wild Type,1,False,2464,568,7168
Wild Type,1,False,432,432,7168
Wild Type,1,False,304,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,712,72,7168
Wild Type,1,False,72,0,7168
Wild Type,1,False,72,72,7168
Wild Type,1,False,336,16,7168
Wild Type,1,False,336,32,7168
Wild Type,1,False,32,32,7168
Wild Type,1,False,32,32,7168
Wild Type,1,True,256,256,7168
Wild Type,1,False,232,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,48,8,7168
