Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Mean Source Stockpile,0.9515071631833005,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,1.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Incidence,927.0,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,2732784.0,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,3059321.24196131,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Rate,0.0003392145153074667,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,1.1194888589662813,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.7413151041666667,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Incidence,11376.0,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,1035616.0,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,475697.6197500077,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Rate,0.010984766554398541,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.4593378431291209,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.2809288194444444,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Incidence,10811.0,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,2145632.0,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,2080808.1234191896,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Rate,0.005038608671011618,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.9697879801471966,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.5820399305555556,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Incidence,10767.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,953616.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,448314.7643983109,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Rate,0.011290708209593799,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.470120849900076,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.2586848958333333,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Incidence,365.0,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,770384.0,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,664060.880244332,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Rate,0.00047378969449002057,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.8619868536266745,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.20898003472222224,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Incidence,8492.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,3686400.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,6508891.3478432475,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Rate,0.0023036024305555557,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,1.765649779688381,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,1.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Incidence,115.0,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,1479600.0,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,3525712.802047207,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
